,business_name,user_name,stars,weight
56,Eureka!,Brandon,3,1
57,Wolfgang Puck Bar & Grill Las Vegas,Mike,4,32
58,Soho Sushi Burrito,Karen,5,2
60,Bocho Sushi,Jayme,5,1
61,Battista's Hole In the Wall,Hannah,5,1
62,Dick's Last Resort,Priscilla,4,0
63,The Peppermill Restaurant & Fireside Lounge,Kim,5,0
64,Madhouse Coffee,Jen,1,12
65,Vintner Grill,Mary,4,10
66,Tom's Urban,Jorge,3,0
67,Battista's Hole In the Wall,Rocky,5,0
68,Wolfgang Puck Bar & Grill Las Vegas,Tana,3,2
69,Dick's Last Resort,Sarah,3,0
70,SUSHISAMBA - Las Vegas,Tatyana,3,2
71,Bottiglia Enoteca,Becky,4,3
72,Tom's Urban,Mike,3,0
73,Madhouse Coffee,Ryan,4,4
74,Juan's Flaming Fajitas & Cantina,Diana,5,0
75,Madhouse Coffee,Patrick,5,0
76,Guy Fieri's Vegas Kitchen & Bar,Arthur,4,1
77,Chica,Emily,5,1
78,Wolfgang Puck Bar & Grill Las Vegas,Melissa,4,11
79,TENDER Steakhouse,Katie,5,0
80,Guy Fieri's Vegas Kitchen & Bar,Brian,3,0
81,Chica,Misty,4,0
82,Guy Fieri's Vegas Kitchen & Bar,Diedre,5,9
83,Tom's Urban,Patrick,4,1
84,Chica,Christine,4,49
85,The Peppermill Restaurant & Fireside Lounge,Lotti,4,0
86,Lazy Dog Restaurant & Bar,Ngoc,4,3
87,Eureka!,Stephanie,5,0
88,SUSHISAMBA - Las Vegas,Kelsey,4,0
89,Public School 702,Marc,5,0
90,Blue Ribbon Brasserie - Las  Vegas,Joe,4,0
91,Q Bistro,Ben Carlos,5,0
92,Juan's Flaming Fajitas & Cantina,Heather,4,5
93,Battista's Hole In the Wall,Brett,4,0
94,Olive Garden Italian Restaurant,Miles,5,0
95,Azuza Hookah Lounge & Cafe,Joe,5,0
96,Eureka!,DeShawn,5,5
97,The Peppermill Restaurant & Fireside Lounge,Andrea,4,0
98,Lazy Dog Restaurant & Bar,Caitlin,5,1
99,Lazy Dog Restaurant & Bar,Jason,5,6
100,The Green Regime,James,5,4
101,Guy Fieri's Vegas Kitchen & Bar,Norbert,5,1
102,The Peppermill Restaurant & Fireside Lounge,Estefany,4,0
103,Eureka!,Megan,5,2
104,Guy Fieri's Vegas Kitchen & Bar,Shemeka,5,0
105,Hooters Restaurant,Katty,5,0
106,Lazy Dog Restaurant & Bar,Marja,1,7
107,Q Bistro,Lori,5,0
108,Tom's Urban,Lorraine,4,3
109,SUSHISAMBA - Las Vegas,Maureen,4,0
110,Guy Fieri's Vegas Kitchen & Bar,Courtny,5,4
111,The Peppermill Restaurant & Fireside Lounge,Nora,5,0
112,Lazy Dog Restaurant & Bar,Kim,3,1
113,Los Cucos Mexican Cafe,Jennifer,5,3
114,Wolfgang Puck Bar & Grill Las Vegas,A. Leona,5,3
115,Eureka!,Steff,5,10
116,Guy Fieri's Vegas Kitchen & Bar,John,5,1
117,Madhouse Coffee,Sean,1,1
118,Chica,Joanne,1,0
119,Battista's Hole In the Wall,Bill,5,0
120,SUSHISAMBA - Las Vegas,Melissa,4,0
121,Wolfgang Puck Bar & Grill Las Vegas,Erica,3,0
122,SUSHISAMBA - Las Vegas,Yumi,3,2
123,Gold Spike,Racheal,5,1
124,Lazy Dog Restaurant & Bar,Forrest,5,0
125,Guy Fieri's Vegas Kitchen & Bar,Mike,5,5
126,Hooters Restaurant,Jennifer,2,29
127,Chica,Akande,4,7
129,Crush,Jeff,5,0
132,Chica,Rye,5,0
133,Franklin,Charles,2,4
134,Wolfgang Puck Bar & Grill Las Vegas,Krystle,4,8
135,Guy Fieri's Vegas Kitchen & Bar,Nikki,4,0
136,Wolfgang Puck Bar & Grill Las Vegas,Leanne,4,4
137,Wolfgang Puck Bar & Grill Las Vegas,Amanda,4,1
138,All-American Bar & Grille,Tim,3,6
139,Bottiglia Enoteca,Zachary,5,6
140,SUSHISAMBA - Las Vegas,Lori,3,7
141,The Peppermill Restaurant & Fireside Lounge,Melissa,4,1
142,PGA Tour Grill,Caroline,1,3
143,SUSHISAMBA - Las Vegas,Adel,5,0
144,Don Michael's,Breanna,4,0
145,Chica,Jan,4,52
146,Madhouse Coffee,Susan,4,6
147,Guy Fieri's Vegas Kitchen & Bar,Timmy,4,29
148,Bottiglia Enoteca,Gerry,4,0
149,Battista's Hole In the Wall,Moshe,4,2
150,Eureka!,Brad,3,5
151,Chica,Daniel,4,2
153,SUSHISAMBA - Las Vegas,Sabrina,2,0
154,Tom's Urban,Leema,4,0
155,The Peppermill Restaurant & Fireside Lounge,Jana,5,6
156,The Peppermill Restaurant & Fireside Lounge,Dave,5,5
157,Gold Spike,Sarah,5,0
158,Guy Fieri's Vegas Kitchen & Bar,Petra,4,3
159,Guy Fieri's Vegas Kitchen & Bar,Rebecca,4,1
160,Guy Fieri's Vegas Kitchen & Bar,Franco,5,5
161,Juan's Flaming Fajitas & Cantina,Ashley,3,1
162,Bocho Sushi,Mary,2,16
164,Guy Fieri's Vegas Kitchen & Bar,Kelly,5,0
165,Guy Fieri's Vegas Kitchen & Bar,Daniel,1,12
166,The Peppermill Restaurant & Fireside Lounge,Shalise,4,0
167,Guy Fieri's Vegas Kitchen & Bar,Kimberly,3,0
169,Lazy Dog Restaurant & Bar,Preston,5,2
170,Wolfgang Puck Bar & Grill Las Vegas,Rodrigo,5,8
171,Lazy Dog Restaurant & Bar,Mike,4,3
172,The Peppermill Restaurant & Fireside Lounge,Nelson,4,0
173,The Peppermill Restaurant & Fireside Lounge,Dustin,4,0
174,Crush,Mark,4,3
175,Crush,Vanessa,3,0
176,Blue Ribbon Brasserie - Las  Vegas,Riley,3,2
177,Toby Keith's I Love This Bar & Grill,Petra,5,1
178,Play It Again Sam,Scott,4,9
179,Chica,Rhea,4,0
180,Wolfgang Puck Bar & Grill Las Vegas,Lizzie,3,4
181,Maria's Mexican Restaurant & Bakery,Karen,5,2
182,The Peppermill Restaurant & Fireside Lounge,Jennifer,5,13
183,Guy Fieri's Vegas Kitchen & Bar,Randall,4,2
184,Lazy Dog Restaurant & Bar,Lorri,3,0
185,Public School 702,Annemarie,5,10
187,Q Bistro,Sharon,5,0
188,PGA Tour Grill,Jade,1,5
189,Public School 702,Rowena,3,1
190,SUSHISAMBA - Las Vegas,Henrietta,4,0
192,Tom's Urban,Chantelle,5,11
193,Dick's Last Resort,Stephannie,3,2
194,Chica,Danny,4,0
195,SUSHISAMBA - Las Vegas,Phoenix,5,0
196,Bob Taylor's Ranch House,Christina,4,0
199,Chica,Opal,4,0
200,Kobe Sushi Bar,Walt,4,4
201,Till's Bar,Martha,5,2
202,Tom's Urban,Tiffany,4,23
203,All-American Bar & Grille,Elisha,4,4
204,Juan's Flaming Fajitas & Cantina,Mary,5,0
205,Bocho Sushi,Petra,5,1
206,Tasty Crepes,Rachel,5,61
207,Bottiglia Enoteca,Lauren,4,1
208,Franklin,Susan,5,67
210,Lazy Dog Restaurant & Bar,Gil,5,3
211,The Peppermill Restaurant & Fireside Lounge,Devin,4,1
212,Lazy Dog Restaurant & Bar,Katie,4,1
213,Bocho Sushi,Lisa,5,2
214,Tom's Urban,Danielle,4,0
215,Juan's Flaming Fajitas & Cantina,Rowena,4,2
216,SUSHISAMBA - Las Vegas,Kristin,4,0
217,PGA Tour Grill,Manali,2,0
218,Juan's Flaming Fajitas & Cantina,Bryn,4,3
219,SUSHISAMBA - Las Vegas,Joy,4,44
220,The Peppermill Restaurant & Fireside Lounge,Melissa Sharee,5,0
221,Lazy Dog Restaurant & Bar,Donna,4,3
222,Tom's Urban,Vincent,4,9
223,Public School 702,Ashley,3,2
224,Chica,Mary,5,6
225,Tom's Urban,Cristi,4,0
227,Guy Fieri's Vegas Kitchen & Bar,Jessica,4,0
228,Chica,Jim,4,7
229,Bocho Sushi,Lauren,2,5
230,Chica,Carnita,5,3
231,SUSHISAMBA - Las Vegas,John,3,1
232,Guy Fieri's Vegas Kitchen & Bar,Preston,5,0
233,"Cleaver -  Butchered Meats, Seafood & Cocktails",Brian,5,9
234,Soho Sushi Burrito,Charles,5,0
235,Madhouse Coffee,Jason,5,1
236,Eureka!,Alma,5,0
237,Sammy's Beach Bar & Grill,Cathy Sue,4,0
238,The Peppermill Restaurant & Fireside Lounge,Betsy,5,2
239,Juan's Flaming Fajitas & Cantina,Jeremy,5,3
240,Juan's Flaming Fajitas & Cantina,Rhondi,4,0
241,Sammy's Beach Bar & Grill,Jerry,4,0
243,All-American Bar & Grille,Matthew,3,0
244,TENDER Steakhouse,Gary,4,0
245,Soho Sushi Burrito,Heather,4,22
246,Public School 702,Patrick,4,3
247,Bocho Sushi,Kim,5,1
248,The Peppermill Restaurant & Fireside Lounge,Lisa,3,1
249,OMG Sushi,Mark,3,0
250,Bocho Sushi,April,5,2
251,The Peppermill Restaurant & Fireside Lounge,Nicole,5,0
253,PGA Tour Grill,Steve,4,8
254,The Peppermill Restaurant & Fireside Lounge,Brooklyn,4,5
255,SUSHISAMBA - Las Vegas,Jen,3,0
256,Los Cucos Mexican Cafe,Alysse,5,0
257,Chica,Raviana,5,1
258,Guy Fieri's Vegas Kitchen & Bar,Karlos,3,4
259,The Peppermill Restaurant & Fireside Lounge,Audra,4,1
260,Guy Fieri's Vegas Kitchen & Bar,Anitra,2,7
261,Wolfgang Puck Bar & Grill Las Vegas,Kristy,4,3
262,Gold Spike,Vanessa,5,0
263,Guy Fieri's Vegas Kitchen & Bar,Tori,4,0
264,Juan's Flaming Fajitas & Cantina,Steve,4,1
265,SUSHISAMBA - Las Vegas,Gracie,4,1
266,Soho Sushi Burrito,Lily,4,0
267,Steiner's,Andrea,5,0
268,Guy Fieri's Vegas Kitchen & Bar,Frederick,2,2
269,The Peppermill Restaurant & Fireside Lounge,Bryan,4,0
271,Bowlology,Nikki,4,0
272,Pressed For Juice,Vanessa,2,1
273,Battista's Hole In the Wall,Sherry,3,8
274,Pressed For Juice,Amanda,5,1
275,The Peppermill Restaurant & Fireside Lounge,Linda,4,0
277,Dick's Last Resort,Estela,5,0
278,Fleming's Prime Steakhouse & Wine Bar - Las Vegas,Danilo,2,0
279,Bob Taylor's Ranch House,Patti,5,2
281,Juan's Flaming Fajitas & Cantina,April,2,0
282,Public School 702,Casey,3,0
283,Corner Market Buffet,Anthony,5,2
284,Mango Tango Nightclub,John,4,2
285,Village Pub & Poker,John,5,3
286,All-American Bar & Grille,Nina,5,0
287,Dick's Last Resort,Bryan,2,1
288,Chica,Natasha,4,0
289,Lazy Dog Restaurant & Bar,Courtney,4,0
290,Eureka!,Jessica,4,12
291,Soho Sushi Burrito,King,5,1
292,The Peppermill Restaurant & Fireside Lounge,Sandra,3,13
293,Hooters Restaurant,Neil,3,2
294,Guy Fieri's Vegas Kitchen & Bar,Luisa,4,0
295,Bob Taylor's Ranch House,Brandy,5,9
296,Bounty Hunters,Karen,5,9
297,Tom's Urban,Sheila,5,0
298,Blue Ribbon Brasserie - Las  Vegas,Doris,2,2
299,Eureka!,Richard,4,3
300,Gold Spike,Omi,5,3
301,Eureka!,Kevin,5,5
302,Bottiglia Enoteca,Angel,5,2
303,Lazy Dog Restaurant & Bar,Miriam,5,8
304,Los Cucos Mexican Cafe,Mayci,5,0
305,Dick's Last Resort,Tiffanie,5,8
306,SUSHISAMBA - Las Vegas,Tina,5,1
307,Lazy Dog Restaurant & Bar,Susan,5,59
308,The Peppermill Restaurant & Fireside Lounge,Denaire,4,3
309,Guy Fieri's Vegas Kitchen & Bar,Alissa,5,1
310,Dick's Last Resort,Scott,4,5
311,SUSHISAMBA - Las Vegas,Elizabeth,5,0
312,Wolfgang Puck Bar & Grill Las Vegas,Maggie,3,5
313,Guy Fieri's Vegas Kitchen & Bar,Ray,4,3
314,Maria's Mexican Restaurant & Bakery,Arturo,4,6
315,Chica,Lulu,4,1
318,SUSHISAMBA - Las Vegas,Matthew,4,0
319,Gold Spike,Brittany,5,2
320,Sierra Gold,Christina,3,1
321,Eureka!,Amy,4,1
322,Eureka!,Madeline,5,3
323,Royal Indian Bistro,Natasha,5,6
324,Tom's Urban,Zachary,4,2
325,Juan's Flaming Fajitas & Cantina,Susanna,4,0
326,Eureka!,Zachary,5,8
327,Gold Spike,Jennifer,4,2
328,Bocho Sushi,Matt,4,1
329,Juan's Flaming Fajitas & Cantina,Regina,4,3
330,Chica,Giulia,4,0
331,Guy Fieri's Vegas Kitchen & Bar,Jackie,3,0
332,Hawthorn Grill,Gerry,3,2
333,Battista's Hole In the Wall,Morgan,3,53
334,Toby Keith's I Love This Bar & Grill,Scott,3,3
336,Vintner Grill,Annemarie,5,8
338,Bob Taylor's Ranch House,Kevin,4,0
339,Eureka!,Enoch,4,4
340,Los Cucos Mexican Cafe,Charles,4,0
341,Casanova,Noelle,5,0
342,Vintner Grill,Alexandra,3,9
343,Wolfgang Puck Bar & Grill Las Vegas,Becky,2,1
345,Chica,Ben,3,0
346,Boteco,Lydia,3,1
347,Blue Ribbon Brasserie - Las  Vegas,Sarah,5,5
348,Tom's Urban,Drew,3,0
349,Public School 702,Lauren,4,8
350,Tom's Urban,Bryan,3,1
351,SUSHISAMBA - Las Vegas,Majes,5,3
352,The Peppermill Restaurant & Fireside Lounge,Trica,4,1
353,Eureka!,Christy,4,2
354,Tasty Crepes,Christy,3,5
355,Tom's Urban,Miriam,4,3
356,Battista's Hole In the Wall,SuzAnne,4,20
357,Sammy's Beach Bar & Grill,Craig,5,2
358,Los Cucos Mexican Cafe,Alexandra,3,5
359,Lazy Dog Restaurant & Bar,Jefferson,5,0
360,Eureka!,Bianca,5,4
361,Olive Garden Italian Restaurant,Charles,4,0
362,Dick's Last Resort,Andrea,3,22
363,Guy Fieri's Vegas Kitchen & Bar,Chue,3,0
364,Chica,Zachary,3,0
365,Guy Fieri's Vegas Kitchen & Bar,Jenna,3,0
366,Battista's Hole In the Wall,Eman,3,0
367,Guy Fieri's Vegas Kitchen & Bar,Zhi,3,5
368,Soho Sushi Burrito,Cynthia,5,6
369,Tom's Urban,Maitina,3,0
370,Public School 702,Susan,4,26
371,SUSHISAMBA - Las Vegas,Noel,5,8
372,Q Bistro,Melissa,3,0
373,Chica,Narciso,5,3
374,Public School 702,Sarama,3,1
375,Blue Ribbon Brasserie - Las  Vegas,Jeff,4,10
376,Guy Fieri's Vegas Kitchen & Bar,Katie,4,61
377,The Peppermill Restaurant & Fireside Lounge,Cris,4,1
378,SUSHISAMBA - Las Vegas,Matt,4,0
379,The Peppermill Restaurant & Fireside Lounge,Zack,5,0
380,SUSHISAMBA - Las Vegas,Sonia,4,0
381,Pressed For Juice,Melanie,5,2
382,Tom's Urban,David,3,3
383,Tom's Urban,Thomas,5,2
384,Sammy's Beach Bar & Grill,Casey,3,9
385,Chica,Cheyenne,5,1
387,Tom's Urban,Camille,3,1
388,Lazy Dog Restaurant & Bar,Ken,4,0
389,The Peppermill Restaurant & Fireside Lounge,Jenni,4,22
390,Chica,Cortney,5,16
391,SUSHISAMBA - Las Vegas,Josephine,4,3
392,Juan's Flaming Fajitas & Cantina,Abby,5,4
393,Guy Fieri's Vegas Kitchen & Bar,Vincent,3,1
394,The Peppermill Restaurant & Fireside Lounge,Christina,4,0
395,Vintner Grill,Stephanie,5,12
396,Sammy's Beach Bar & Grill,Aaron,1,88
397,Wolfgang Puck Bar & Grill Las Vegas,Nicollette,5,1
398,The Peppermill Restaurant & Fireside Lounge,Cathy Sue,5,1
399,Tom's Urban,Jay,4,0
400,SUSHISAMBA - Las Vegas,Pu,5,4
401,Blue Ribbon Brasserie - Las  Vegas,Miranda,5,2
402,Wolfgang Puck Bar & Grill Las Vegas,Gui,4,0
403,LUV Lounge,Dakota,5,0
404,Lazy Dog Restaurant & Bar,Camille,3,0
405,Q Bistro,Rachel,4,0
406,Guy Fieri's Vegas Kitchen & Bar,Matt,4,0
407,Juan's Flaming Fajitas & Cantina,Kayee,5,2
408,TENDER Steakhouse,Jamie,5,0
409,SUSHISAMBA - Las Vegas,Scott,5,11
410,The Peppermill Restaurant & Fireside Lounge,Hugh,4,0
411,PGA Tour Grill,Dee,3,0
412,Azuza Hookah Lounge & Cafe,Rip,5,7
413,Gold Spike,Abbey,5,0
414,Juan's Flaming Fajitas & Cantina,Sheila,5,8
415,The Peppermill Restaurant & Fireside Lounge,Matt,5,0
416,Gold Spike,Lauren,5,13
417,Tom's Urban,Melissa,4,11
418,All-American Bar & Grille,Brandon,2,15
419,The Peppermill Restaurant & Fireside Lounge,Andrew,4,0
420,The Steakhouse at Treasures,Gretchen,5,0
421,Chica,Shan,5,3
422,Public School 702,Sarah,3,11
423,The Peppermill Restaurant & Fireside Lounge,Samuel,5,0
424,SUSHISAMBA - Las Vegas,Dianna,4,1
425,Juan's Flaming Fajitas & Cantina,Laurie,5,1
426,Battista's Hole In the Wall,Joe,3,51
427,Sierra Gold,Caroline,4,3
428,The Peppermill Restaurant & Fireside Lounge,Shayna,5,2
429,Juan's Flaming Fajitas & Cantina,Lauren,5,19
430,Los Cucos Mexican Cafe,John,4,2
431,TENDER Steakhouse,Joan,3,9
432,Chica,Kelly,4,3
433,Eureka!,Adam,5,1
434,Sammy's Beach Bar & Grill,Mike,4,4
435,Fleming's Prime Steakhouse & Wine Bar - Las Vegas,Jessica,5,2
436,The Peppermill Restaurant & Fireside Lounge,Randy,5,0
437,SUSHISAMBA - Las Vegas,Doris,4,1
438,SUSHISAMBA - Las Vegas,Julie,4,0
439,Guy Fieri's Vegas Kitchen & Bar,Catherine,5,1
440,SUSHISAMBA - Las Vegas,Mansi,5,0
441,Los Cucos Mexican Cafe,Jhordan,4,0
443,The Peppermill Restaurant & Fireside Lounge,Michael,4,10
444,Public School 702,Christine,4,0
445,Bowlology,Diana,5,1
446,Bob Taylor's Ranch House,Courtney,4,0
447,Chica,Julie,5,0
448,Chica,Rolly,3,2
449,Tom's Urban,Kayli,1,1
451,Guy Fieri's Vegas Kitchen & Bar,Sophia,4,0
452,Vintner Grill,Alejandra,5,1
453,PGA Tour Grill,Sandeep,4,0
454,Battista's Hole In the Wall,Judith,3,0
455,Grotto Ristorante,Shayna,5,2
456,SUSHISAMBA - Las Vegas,Koel,5,0
457,Guy Fieri's Vegas Kitchen & Bar,Keith,5,0
458,Chica,Tiffany,5,1
459,Public School 702,Nikki,4,0
460,The Peppermill Restaurant & Fireside Lounge,Hilary,5,4
461,Sammy's Beach Bar & Grill,Johnny,5,1
462,Juan's Flaming Fajitas & Cantina,Pilar,5,4
463,Tom's Urban,Ashley,4,2
464,SUSHISAMBA - Las Vegas,Doug,4,7
465,PGA Tour Grill,Jennifer,4,0
466,The Peppermill Restaurant & Fireside Lounge,Brandon,4,0
467,Guy Fieri's Vegas Kitchen & Bar,Caroline,2,2
468,PGA Tour Grill,Nicole,3,3
469,The Bar @ Tropicana & Durango,Steve,2,1
470,Chica,Lissa,4,6
473,Chica,Susan,5,73
474,SUSHISAMBA - Las Vegas,Jane,4,0
475,Eureka!,Amber,4,4
476,Chica,Lori,2,8
477,Tom's Urban,Samantha,4,1
478,SUSHISAMBA - Las Vegas,Hope,5,0
479,The Peppermill Restaurant & Fireside Lounge,Crystal,3,47
480,All-American Bar & Grille,Jose,5,0
481,Franklin,Sara,5,1
482,Fleming's Prime Steakhouse & Wine Bar - Las Vegas,Madya,5,0
484,SUSHISAMBA - Las Vegas,Hev,2,2
485,The Peppermill Restaurant & Fireside Lounge,Karla,5,4
486,The Peppermill Restaurant & Fireside Lounge,Ryan,4,1
487,Gold Spike,Dana,4,3
488,Sammy's Beach Bar & Grill,Katie,2,2
489,Lazy Dog Restaurant & Bar,Narine,5,1
490,Lazy Dog Restaurant & Bar,Stefany,4,41
491,Olive Garden Italian Restaurant,Neil,4,0
492,Public School 702,Jennifer,4,7
493,Toby Keith's I Love This Bar & Grill,Amy,4,0
494,Bottiglia Enoteca,Angela,3,1
495,Wolfgang Puck Bar & Grill Las Vegas,Chris,5,2
496,Chica,Bethany,4,19
497,Chica,Lyla,5,36
498,Eureka!,Andrew,4,1
499,Lazy Dog Restaurant & Bar,Shert,3,0
500,SUSHISAMBA - Las Vegas,Mel,2,1
501,Tom's Urban,Alan,4,0
502,Tom's Urban,Leslie,5,0
503,Lazy Dog Restaurant & Bar,Alex,5,0
504,The Peppermill Restaurant & Fireside Lounge,David,5,33
505,All-American Bar & Grille,Pam,3,210
506,Juan's Flaming Fajitas & Cantina,Jen,5,9
507,Battista's Hole In the Wall,Tony,4,1
508,Juan's Flaming Fajitas & Cantina,Paul,5,0
509,The Peppermill Restaurant & Fireside Lounge,Rolo,5,0
510,Blue Ribbon Brasserie - Las  Vegas,Georgette,3,1
511,Lazy Dog Restaurant & Bar,Morgan,3,0
512,Chica,Shannon,5,0
513,The Peppermill Restaurant & Fireside Lounge,Rahul,3,2
514,Hooters Restaurant,Paula,4,3
515,Guy Fieri's Vegas Kitchen & Bar,Toni,5,0
516,The Peppermill Restaurant & Fireside Lounge,Jeremy,4,0
517,Bocho Sushi,Mal,3,2
518,SUSHISAMBA - Las Vegas,Salma,5,6
519,Public School 702,Holly,4,0
520,The Peppermill Restaurant & Fireside Lounge,Chuck,4,8
521,Guy Fieri's Vegas Kitchen & Bar,Jailen,3,2
522,All-American Bar & Grille,Karo,5,20
523,Bowlology,Susan,4,38
524,Azuza Hookah Lounge & Cafe,Erika,5,1
525,Guy Fieri's Vegas Kitchen & Bar,Stacy,5,2
526,Chica,Angela,5,0
527,Crush,Robert,2,6
528,Dick's Last Resort,Greg,5,1
529,The Peppermill Restaurant & Fireside Lounge,Khadijah,5,2
530,Blue Ribbon Brasserie - Las  Vegas,Anita,4,8
531,The Peppermill Restaurant & Fireside Lounge,Paul,5,16
532,Lazy Dog Restaurant & Bar,Heather,4,6
533,Corner Market Buffet,Arnel,4,16
534,All-American Bar & Grille,April,3,0
535,Juan's Flaming Fajitas & Cantina,Madeline,4,0
536,Chica,Melissa,4,20
537,Jackpot Bar & Grill,Dave,3,1
538,The Peppermill Restaurant & Fireside Lounge,Tracy,4,4
539,Bob Taylor's Ranch House,Karlee,5,0
540,Tom's Urban,Jennifer,4,0
541,Eureka!,Claudia,5,1
542,Guy Fieri's Vegas Kitchen & Bar,Jes,3,0
543,Bottiglia Enoteca,Heidi,4,2
544,Wolfgang Puck Bar & Grill Las Vegas,Shannon,4,0
545,Bocho Sushi,Donna,4,6
546,Corner Market Buffet,Josie,2,2
547,Guy Fieri's Vegas Kitchen & Bar,Michelle,4,4
548,Guy Fieri's Vegas Kitchen & Bar,Lauren,3,3
549,Gold Spike,Jason,4,5
550,Battista's Hole In the Wall,Craig,3,6
551,Guy Fieri's Vegas Kitchen & Bar,Darius,4,2
552,The Peppermill Restaurant & Fireside Lounge,Mike,5,0
553,The Peppermill Restaurant & Fireside Lounge,Kelly,5,9
555,Royal Indian Bistro,Lisa,5,0
556,Gold Spike,Georgette,4,5
557,Juan's Flaming Fajitas & Cantina,Annamarie,5,1
558,Battista's Hole In the Wall,Chris,3,3
559,Juan's Flaming Fajitas & Cantina,Crystal,5,2
560,Blue Ribbon Brasserie - Las  Vegas,Ngoc,5,3
561,Guy Fieri's Vegas Kitchen & Bar,Ben,4,0
562,Guy Fieri's Vegas Kitchen & Bar,Alyssa,3,0
563,Bottiglia Enoteca,Poco,5,30
564,The Peppermill Restaurant & Fireside Lounge,Mirit,3,1
565,Fleming's Prime Steakhouse & Wine Bar - Las Vegas,Rachel,4,0
567,Lazy Dog Restaurant & Bar,Sabrina,5,1
568,The Peppermill Restaurant & Fireside Lounge,Lori,3,7
569,Chica,Yeonhwa,5,2
570,Juan's Flaming Fajitas & Cantina,Katherine,5,0
571,SUSHISAMBA - Las Vegas,JMarie,4,0
572,Chica,Gracie,4,1
573,Vintner Grill,Ric,5,0
574,Lazy Dog Restaurant & Bar,James,4,15
575,SUSHISAMBA - Las Vegas,Stella,5,2
576,Cariba Charlie's,Dave,3,1
577,PGA Tour Grill,Bob,2,1
578,Wolfgang Puck Bar & Grill Las Vegas,David,2,4
579,Q Bistro,Christine,4,2
580,Chica,Vanessa,4,7
581,Wolfgang Puck Bar & Grill Las Vegas,Kevin,5,3
582,Eureka!,Steve,5,1
583,All-American Bar & Grille,Sally,2,0
584,The Peppermill Restaurant & Fireside Lounge,Rebecca,4,0
585,PGA Tour Grill,Courtney,1,2
587,Maria's Mexican Restaurant & Bakery,Kathryn,4,0
588,Q Bistro,Randy,4,3
590,The Peppermill Restaurant & Fireside Lounge,Gerry,5,3
591,The Bar @ Tropicana & Durango,Andrea,4,2
592,Tom's Urban,Jules,2,1
593,Battista's Hole In the Wall,Shelley,3,1
594,All-American Bar & Grille,Hen,2,24
595,Q Bistro,Edward,4,3
596,Juan's Flaming Fajitas & Cantina,Sam,5,2
597,Public School 702,Katrina,5,3
598,Los Cucos Mexican Cafe,Madeline,4,2
599,Wolfgang Puck Bar & Grill Las Vegas,Marissa,1,5
600,Crush,Tara,4,1
602,Guy Fieri's Vegas Kitchen & Bar,Carly,3,2
603,Wolfgang Puck Bar & Grill Las Vegas,Shar,4,0
604,Juan's Flaming Fajitas & Cantina,Priya,5,13
605,Wolfgang Puck Bar & Grill Las Vegas,Jeff,5,1
